candidate,seed,module,x,y,rotation,status,legal,source_result,source_layout,formal_legal,formal_W,formal_H,formal_area,formal_module_area,formal_dead_space_ratio,formal_aspect_ratio,formal_rho,formal_deadspace,formal_HPWL,formal_square_side,audit_legal,audit_W,audit_H,audit_area,audit_module_area,audit_dead_space_ratio,audit_aspect_ratio,audit_rho,audit_deadspace,audit_HPWL,audit_square_side
Q3-BIN,1110,b0,345.0,390.0,90,timeout,True,outputs/q3/_runtime/v2_n100/n100/v2_n100_q3_bin/result.json,outputs/q3/_runtime/v2_n100/n100/v2_n100_q3_bin/layout.json,True,437.3565514828834,437.3565514828834,191280.75312500002,179501.0,0.0656250000000001,1.0,0.061583577712610055,11779.753125000017,248215.5,437.3565514828834,True,437.3565514828834,437.3565514828834,191280.75312500002,179501.0,0.0656250000000001,1.0,0.061583577712610055,11779.753125000017,248215.5,437.3565514828834
Q3-BIN,1110,b1,298.0,241.0,0,timeout,True,outputs/q3/_runtime/v2_n100/n100/v2_n100_q3_bin/result.json,outputs/q3/_runtime/v2_n100/n100/v2_n100_q3_bin/layout.json,True,437.3565514828834,437.3565514828834,191280.75312500002,179501.0,0.0656250000000001,1.0,0.061583577712610055,11779.753125000017,248215.5,437.3565514828834,True,437.3565514828834,437.3565514828834,191280.75312500002,179501.0,0.0656250000000001,1.0,0.061583577712610055,11779.753125000017,248215.5,437.3565514828834
Q3-BIN,1110,b10,0.0,396.0,90,timeout,True,outputs/q3/_runtime/v2_n100/n100/v2_n100_q3_bin/result.json,outputs/q3/_runtime/v2_n100/n100/v2_n100_q3_bin/layout.json,True,437.3565514828834,437.3565514828834,191280.75312500002,179501.0,0.0656250000000001,1.0,0.061583577712610055,11779.753125000017,248215.5,437.3565514828834,True,437.3565514828834,437.3565514828834,191280.75312500002,179501.0,0.0656250000000001,1.0,0.061583577712610055,11779.753125000017,248215.5,437.3565514828834
Q3-BIN,1110,b11,50.0,111.0,90,timeout,True,outputs/q3/_runtime/v2_n100/n100/v2_n100_q3_bin/result.json,outputs/q3/_runtime/v2_n100/n100/v2_n100_q3_bin/layout.json,True,437.3565514828834,437.3565514828834,191280.75312500002,179501.0,0.0656250000000001,1.0,0.061583577712610055,11779.753125000017,248215.5,437.3565514828834,True,437.3565514828834,437.3565514828834,191280.75312500002,179501.0,0.0656250000000001,1.0,0.061583577712610055,11779.753125000017,248215.5,437.3565514828834
Q3-BIN,1110,b12,57.0,312.0,0,timeout,True,outputs/q3/_runtime/v2_n100/n100/v2_n100_q3_bin/result.json,outputs/q3/_runtime/v2_n100/n100/v2_n100_q3_bin/layout.json,True,437.3565514828834,437.3565514828834,191280.75312500002,179501.0,0.0656250000000001,1.0,0.061583577712610055,11779.753125000017,248215.5,437.3565514828834,True,437.3565514828834,437.3565514828834,191280.75312500002,179501.0,0.0656250000000001,1.0,0.061583577712610055,11779.753125000017,248215.5,437.3565514828834
Q3-BIN,1110,b13,358.0,61.0,90,timeout,True,outputs/q3/_runtime/v2_n100/n100/v2_n100_q3_bin/result.json,outputs/q3/_runtime/v2_n100/n100/v2_n100_q3_bin/layout.json,True,437.3565514828834,437.3565514828834,191280.75312500002,179501.0,0.0656250000000001,1.0,0.061583577712610055,11779.753125000017,248215.5,437.3565514828834,True,437.3565514828834,437.3565514828834,191280.75312500002,179501.0,0.0656250000000001,1.0,0.061583577712610055,11779.753125000017,248215.5,437.3565514828834
Q3-BIN,1110,b14,319.0,158.0,0,timeout,True,outputs/q3/_runtime/v2_n100/n100/v2_n100_q3_bin/result.json,outputs/q3/_runtime/v2_n100/n100/v2_n100_q3_bin/layout.json,True,437.3565514828834,437.3565514828834,191280.75312500002,179501.0,0.0656250000000001,1.0,0.061583577712610055,11779.753125000017,248215.5,437.3565514828834,True,437.3565514828834,437.3565514828834,191280.75312500002,179501.0,0.0656250000000001,1.0,0.061583577712610055,11779.753125000017,248215.5,437.3565514828834
Q3-BIN,1110,b15,313.0,0.0,90,timeout,True,outputs/q3/_runtime/v2_n100/n100/v2_n100_q3_bin/result.json,outputs/q3/_runtime/v2_n100/n100/v2_n100_q3_bin/layout.json,True,437.3565514828834,437.3565514828834,191280.75312500002,179501.0,0.0656250000000001,1.0,0.061583577712610055,11779.753125000017,248215.5,437.3565514828834,True,437.3565514828834,437.3565514828834,191280.75312500002,179501.0,0.0656250000000001,1.0,0.061583577712610055,11779.753125000017,248215.5,437.3565514828834
Q3-BIN,1110,b16,380.0,331.0,90,timeout,True,outputs/q3/_runtime/v2_n100/n100/v2_n100_q3_bin/result.json,outputs/q3/_runtime/v2_n100/n100/v2_n100_q3_bin/layout.json,True,437.3565514828834,437.3565514828834,191280.75312500002,179501.0,0.0656250000000001,1.0,0.061583577712610055,11779.753125000017,248215.5,437.3565514828834,True,437.3565514828834,437.3565514828834,191280.75312500002,179501.0,0.0656250000000001,1.0,0.061583577712610055,11779.753125000017,248215.5,437.3565514828834
Q3-BIN,1110,b17,219.0,111.0,90,timeout,True,outputs/q3/_runtime/v2_n100/n100/v2_n100_q3_bin/result.json,outputs/q3/_runtime/v2_n100/n100/v2_n100_q3_bin/layout.json,True,437.3565514828834,437.3565514828834,191280.75312500002,179501.0,0.0656250000000001,1.0,0.061583577712610055,11779.753125000017,248215.5,437.3565514828834,True,437.3565514828834,437.3565514828834,191280.75312500002,179501.0,0.0656250000000001,1.0,0.061583577712610055,11779.753125000017,248215.5,437.3565514828834
